Date,Product_ID,Product_Name,Category,Quantity_Sold,Wholesale_Price,Retail_Price,Revenue,Profit
04-01-2023,1,Polo shirt,Shirts,16,300,399,6384,1584
04-01-2023,2,Jeans,Pants,18,600,699,12582,1782
04-01-2023,3,Denim jacket,Outerwear,16,700,749,11984,784
04-01-2023,4,Tuxedo, Suits,27,560,669,18063,2943
04-01-2023,5,V-neck -Sweaters,Sweaters,13,420,489,6357,897
04-01-2023,6,Graphic T-shirt,T-shirts,23,150,199,4577,1127
04-01-2023,7,Running jacket,Activewear,27,420,499,13473,2133
04-01-2023,8,Belt,Accessories,18,110,159,2862,882
04-01-2023,9,Watch,Accessories,11,380,419,4609,429
04-01-2023,10,Sneakers,Footwear,29,350,449,13021,2871
05-01-2023,1,Polo shirt,Shirts,24,300,399,9576,2376
05-01-2023,2,Jeans,Pants,16,600,699,11184,1584
05-01-2023,3,Denim jacket,Outerwear,21,700,749,15729,1029
05-01-2023,4,Tuxedo, Suits,17,560,669,11373,1853
05-01-2023,5,V-neck -Sweaters,Sweaters,24,420,489,11736,1656
05-01-2023,6,Graphic T-shirt,T-shirts,12,150,199,2388,588
05-01-2023,7,Running jacket,Activewear,23,420,499,11477,1817
05-01-2023,8,Belt,Accessories,26,110,159,4134,1274
05-01-2023,9,Watch,Accessories,13,380,419,5447,507
05-01-2023,10,Sneakers,Footwear,27,350,449,12123,2673
06-01-2023,1,Polo shirt,Shirts,17,300,399,6783,1683
06-01-2023,2,Jeans,Pants,13,600,699,9087,1287
06-01-2023,3,Denim jacket,Outerwear,11,700,749,8239,539
06-01-2023,4,Tuxedo, Suits,15,560,669,10035,1635
06-01-2023,5,V-neck -Sweaters,Sweaters,19,420,489,9291,1311
06-01-2023,6,Graphic T-shirt,T-shirts,13,150,199,2587,637
06-01-2023,7,Running jacket,Activewear,27,420,499,13473,2133
06-01-2023,8,Belt,Accessories,21,110,159,3339,1029
06-01-2023,9,Watch,Accessories,11,380,419,4609,429
06-01-2023,10,Sneakers,Footwear,19,350,449,8531,1881
07-01-2023,1,Polo shirt,Shirts,13,300,399,5187,1287
07-01-2023,2,Jeans,Pants,23,600,699,16077,2277
07-01-2023,3,Denim jacket,Outerwear,25,700,749,18725,1225
07-01-2023,4,Tuxedo, Suits,24,560,669,16056,2616
07-01-2023,5,V-neck -Sweaters,Sweaters,17,420,489,8313,1173
07-01-2023,6,Graphic T-shirt,T-shirts,23,150,199,4577,1127
07-01-2023,7,Running jacket,Activewear,17,420,499,8483,1343
07-01-2023,8,Belt,Accessories,25,110,159,3975,1225
07-01-2023,9,Watch,Accessories,22,380,419,9218,858
07-01-2023,10,Sneakers,Footwear,27,350,449,12123,2673
08-01-2023,1,Polo shirt,Shirts,24,300,399,9576,2376
08-01-2023,2,Jeans,Pants,22,600,699,15378,2178
08-01-2023,3,Denim jacket,Outerwear,18,700,749,13482,882
08-01-2023,4,Tuxedo, Suits,24,560,669,16056,2616
08-01-2023,5,V-neck -Sweaters,Sweaters,22,420,489,10758,1518
08-01-2023,6,Graphic T-shirt,T-shirts,10,150,199,1990,490
08-01-2023,7,Running jacket,Activewear,16,420,499,7984,1264
08-01-2023,8,Belt,Accessories,18,110,159,2862,882
08-01-2023,9,Watch,Accessories,10,380,419,4190,390
08-01-2023,10,Sneakers,Footwear,21,350,449,9429,2079
09-01-2023,1,Polo shirt,Shirts,17,300,399,6783,1683
09-01-2023,2,Jeans,Pants,20,600,699,13980,1980
09-01-2023,3,Denim jacket,Outerwear,28,700,749,20972,1372
09-01-2023,4,Tuxedo, Suits,26,560,669,17394,2834
09-01-2023,5,V-neck -Sweaters,Sweaters,17,420,489,8313,1173
09-01-2023,6,Graphic T-shirt,T-shirts,12,150,199,2388,588
09-01-2023,7,Running jacket,Activewear,12,420,499,5988,948
09-01-2023,8,Belt,Accessories,10,110,159,1590,490
09-01-2023,9,Watch,Accessories,14,380,419,5866,546
09-01-2023,10,Sneakers,Footwear,19,350,449,8531,1881
10-01-2023,1,Polo shirt,Shirts,16,300,399,6384,1584
10-01-2023,2,Jeans,Pants,18,600,699,12582,1782
10-01-2023,3,Denim jacket,Outerwear,16,700,749,11984,784
10-01-2023,4,Tuxedo, Suits,18,560,669,12042,1962
10-01-2023,5,V-neck -Sweaters,Sweaters,17,420,489,8313,1173
10-01-2023,6,Graphic T-shirt,T-shirts,21,150,199,4179,1029
10-01-2023,7,Running jacket,Activewear,11,420,499,5489,869
10-01-2023,8,Belt,Accessories,10,110,159,1590,490
10-01-2023,9,Watch,Accessories,25,380,419,10475,975
10-01-2023,10,Sneakers,Footwear,14,350,449,6286,1386
11-01-2023,1,Polo shirt,Shirts,12,300,399,4788,1188
11-01-2023,2,Jeans,Pants,21,600,699,14679,2079
11-01-2023,3,Denim jacket,Outerwear,17,700,749,12733,833
11-01-2023,4,Tuxedo, Suits,12,560,669,8028,1308
11-01-2023,5,V-neck -Sweaters,Sweaters,10,420,489,4890,690
11-01-2023,6,Graphic T-shirt,T-shirts,12,150,199,2388,588
11-01-2023,7,Running jacket,Activewear,14,420,499,6986,1106
11-01-2023,8,Belt,Accessories,24,110,159,3816,1176
11-01-2023,9,Watch,Accessories,23,380,419,9637,897
11-01-2023,10,Sneakers,Footwear,12,350,449,5388,1188
12-01-2023,1,Polo shirt,Shirts,10,300,399,3990,990
12-01-2023,2,Jeans,Pants,14,600,699,9786,1386
12-01-2023,3,Denim jacket,Outerwear,23,700,749,17227,1127
12-01-2023,4,Tuxedo, Suits,16,560,669,10704,1744
12-01-2023,5,V-neck -Sweaters,Sweaters,18,420,489,8802,1242
12-01-2023,6,Graphic T-shirt,T-shirts,24,150,199,4776,1176
12-01-2023,7,Running jacket,Activewear,24,420,499,11976,1896
12-01-2023,8,Belt,Accessories,19,110,159,3021,931
12-01-2023,9,Watch,Accessories,22,380,419,9218,858
12-01-2023,10,Sneakers,Footwear,28,350,449,12572,2772
13-01-2023,1,Polo shirt,Shirts,16,300,399,6384,1584
13-01-2023,2,Jeans,Pants,26,600,699,18174,2574
13-01-2023,3,Denim jacket,Outerwear,29,700,749,21721,1421
13-01-2023,4,Tuxedo, Suits,13,560,669,8697,1417
13-01-2023,5,V-neck -Sweaters,Sweaters,14,420,489,6846,966
13-01-2023,6,Graphic T-shirt,T-shirts,16,150,199,3184,784
13-01-2023,7,Running jacket,Activewear,22,420,499,10978,1738
13-01-2023,8,Belt,Accessories,24,110,159,3816,1176
13-01-2023,9,Watch,Accessories,20,380,419,8380,780
13-01-2023,10,Sneakers,Footwear,13,350,449,5837,1287
14-01-2023,1,Polo shirt,Shirts,22,300,399,8778,2178
14-01-2023,2,Jeans,Pants,16,600,699,11184,1584
14-01-2023,3,Denim jacket,Outerwear,28,700,749,20972,1372
14-01-2023,4,Tuxedo, Suits,11,560,669,7359,1199
14-01-2023,5,V-neck -Sweaters,Sweaters,19,420,489,9291,1311
14-01-2023,6,Graphic T-shirt,T-shirts,22,150,199,4378,1078
14-01-2023,7,Running jacket,Activewear,15,420,499,7485,1185
14-01-2023,8,Belt,Accessories,21,110,159,3339,1029
14-01-2023,9,Watch,Accessories,21,380,419,8799,819
14-01-2023,10,Sneakers,Footwear,29,350,449,13021,2871
15-01-2023,1,Polo shirt,Shirts,20,300,399,7980,1980
15-01-2023,2,Jeans,Pants,16,600,699,11184,1584
15-01-2023,3,Denim jacket,Outerwear,10,700,749,7490,490
15-01-2023,4,Tuxedo, Suits,10,560,669,6690,1090
15-01-2023,5,V-neck -Sweaters,Sweaters,29,420,489,14181,2001
15-01-2023,6,Graphic T-shirt,T-shirts,22,150,199,4378,1078
15-01-2023,7,Running jacket,Activewear,18,420,499,8982,1422
15-01-2023,8,Belt,Accessories,12,110,159,1908,588
15-01-2023,9,Watch,Accessories,16,380,419,6704,624
15-01-2023,10,Sneakers,Footwear,15,350,449,6735,1485
16-01-2023,1,Polo shirt,Shirts,17,300,399,6783,1683
16-01-2023,2,Jeans,Pants,18,600,699,12582,1782
16-01-2023,3,Denim jacket,Outerwear,14,700,749,10486,686
16-01-2023,4,Tuxedo, Suits,10,560,669,6690,1090
16-01-2023,5,V-neck -Sweaters,Sweaters,28,420,489,13692,1932
16-01-2023,6,Graphic T-shirt,T-shirts,19,150,199,3781,931
16-01-2023,7,Running jacket,Activewear,21,420,499,10479,1659
16-01-2023,8,Belt,Accessories,24,110,159,3816,1176
16-01-2023,9,Watch,Accessories,18,380,419,7542,702
16-01-2023,10,Sneakers,Footwear,29,350,449,13021,2871
17-01-2023,1,Polo shirt,Shirts,26,300,399,10374,2574
17-01-2023,2,Jeans,Pants,26,600,699,18174,2574
17-01-2023,3,Denim jacket,Outerwear,29,700,749,21721,1421
17-01-2023,4,Tuxedo, Suits,21,560,669,14049,2289
17-01-2023,5,V-neck -Sweaters,Sweaters,16,420,489,7824,1104
17-01-2023,6,Graphic T-shirt,T-shirts,11,150,199,2189,539
17-01-2023,7,Running jacket,Activewear,12,420,499,5988,948
17-01-2023,8,Belt,Accessories,26,110,159,4134,1274
17-01-2023,9,Watch,Accessories,14,380,419,5866,546
17-01-2023,10,Sneakers,Footwear,26,350,449,11674,2574
18-01-2023,1,Polo shirt,Shirts,26,300,399,10374,2574
18-01-2023,2,Jeans,Pants,26,600,699,18174,2574
18-01-2023,3,Denim jacket,Outerwear,11,700,749,8239,539
18-01-2023,4,Tuxedo, Suits,11,560,669,7359,1199
18-01-2023,5,V-neck -Sweaters,Sweaters,14,420,489,6846,966
18-01-2023,6,Graphic T-shirt,T-shirts,10,150,199,1990,490
18-01-2023,7,Running jacket,Activewear,10,420,499,4990,790
18-01-2023,8,Belt,Accessories,28,110,159,4452,1372
18-01-2023,9,Watch,Accessories,11,380,419,4609,429
18-01-2023,10,Sneakers,Footwear,21,350,449,9429,2079
19-01-2023,1,Polo shirt,Shirts,15,300,399,5985,1485
19-01-2023,2,Jeans,Pants,13,600,699,9087,1287
19-01-2023,3,Denim jacket,Outerwear,20,700,749,14980,980
19-01-2023,4,Tuxedo, Suits,26,560,669,17394,2834
19-01-2023,5,V-neck -Sweaters,Sweaters,15,420,489,7335,1035
19-01-2023,6,Graphic T-shirt,T-shirts,14,150,199,2786,686
19-01-2023,7,Running jacket,Activewear,29,420,499,14471,2291
19-01-2023,8,Belt,Accessories,11,110,159,1749,539
19-01-2023,9,Watch,Accessories,15,380,419,6285,585
19-01-2023,10,Sneakers,Footwear,20,350,449,8980,1980
20-01-2023,1,Polo shirt,Shirts,25,300,399,9975,2475
20-01-2023,2,Jeans,Pants,25,600,699,17475,2475
20-01-2023,3,Denim jacket,Outerwear,10,700,749,7490,490
20-01-2023,4,Tuxedo, Suits,18,560,669,12042,1962
20-01-2023,5,V-neck -Sweaters,Sweaters,15,420,489,7335,1035
20-01-2023,6,Graphic T-shirt,T-shirts,25,150,199,4975,1225
20-01-2023,7,Running jacket,Activewear,12,420,499,5988,948
20-01-2023,8,Belt,Accessories,29,110,159,4611,1421
20-01-2023,9,Watch,Accessories,13,380,419,5447,507
20-01-2023,10,Sneakers,Footwear,28,350,449,12572,2772
21-01-2023,1,Polo shirt,Shirts,12,300,399,4788,1188
21-01-2023,2,Jeans,Pants,28,600,699,19572,2772
21-01-2023,3,Denim jacket,Outerwear,29,700,749,21721,1421
21-01-2023,4,Tuxedo, Suits,16,560,669,10704,1744
21-01-2023,5,V-neck -Sweaters,Sweaters,29,420,489,14181,2001
21-01-2023,6,Graphic T-shirt,T-shirts,18,150,199,3582,882
21-01-2023,7,Running jacket,Activewear,10,420,499,4990,790
21-01-2023,8,Belt,Accessories,17,110,159,2703,833
21-01-2023,9,Watch,Accessories,16,380,419,6704,624
21-01-2023,10,Sneakers,Footwear,27,350,449,12123,2673
22-01-2023,1,Polo shirt,Shirts,17,300,399,6783,1683
22-01-2023,2,Jeans,Pants,10,600,699,6990,990
22-01-2023,3,Denim jacket,Outerwear,20,700,749,14980,980
22-01-2023,4,Tuxedo, Suits,27,560,669,18063,2943
22-01-2023,5,V-neck -Sweaters,Sweaters,19,420,489,9291,1311
22-01-2023,6,Graphic T-shirt,T-shirts,12,150,199,2388,588
22-01-2023,7,Running jacket,Activewear,16,420,499,7984,1264
22-01-2023,8,Belt,Accessories,25,110,159,3975,1225
22-01-2023,9,Watch,Accessories,25,380,419,10475,975
22-01-2023,10,Sneakers,Footwear,29,350,449,13021,2871
23-01-2023,1,Polo shirt,Shirts,26,300,399,10374,2574
23-01-2023,2,Jeans,Pants,11,600,699,7689,1089
23-01-2023,3,Denim jacket,Outerwear,10,700,749,7490,490
23-01-2023,4,Tuxedo, Suits,25,560,669,16725,2725
23-01-2023,5,V-neck -Sweaters,Sweaters,21,420,489,10269,1449
23-01-2023,6,Graphic T-shirt,T-shirts,14,150,199,2786,686
23-01-2023,7,Running jacket,Activewear,14,420,499,6986,1106
23-01-2023,8,Belt,Accessories,18,110,159,2862,882
23-01-2023,9,Watch,Accessories,18,380,419,7542,702
23-01-2023,10,Sneakers,Footwear,12,350,449,5388,1188
24-01-2023,1,Polo shirt,Shirts,28,300,399,11172,2772
24-01-2023,2,Jeans,Pants,25,600,699,17475,2475
24-01-2023,3,Denim jacket,Outerwear,25,700,749,18725,1225
24-01-2023,4,Tuxedo, Suits,12,560,669,8028,1308
24-01-2023,5,V-neck -Sweaters,Sweaters,29,420,489,14181,2001
24-01-2023,6,Graphic T-shirt,T-shirts,10,150,199,1990,490
24-01-2023,7,Running jacket,Activewear,29,420,499,14471,2291
24-01-2023,8,Belt,Accessories,20,110,159,3180,980
24-01-2023,9,Watch,Accessories,26,380,419,10894,1014
24-01-2023,10,Sneakers,Footwear,17,350,449,7633,1683
25-01-2023,1,Polo shirt,Shirts,13,300,399,5187,1287
25-01-2023,2,Jeans,Pants,15,600,699,10485,1485
25-01-2023,3,Denim jacket,Outerwear,17,700,749,12733,833
25-01-2023,4,Tuxedo, Suits,29,560,669,19401,3161
25-01-2023,5,V-neck -Sweaters,Sweaters,12,420,489,5868,828
25-01-2023,6,Graphic T-shirt,T-shirts,25,150,199,4975,1225
25-01-2023,7,Running jacket,Activewear,12,420,499,5988,948
25-01-2023,8,Belt,Accessories,27,110,159,4293,1323
25-01-2023,9,Watch,Accessories,23,380,419,9637,897
25-01-2023,10,Sneakers,Footwear,27,350,449,12123,2673
26-01-2023,1,Polo shirt,Shirts,11,300,399,4389,1089
26-01-2023,2,Jeans,Pants,12,600,699,8388,1188
26-01-2023,3,Denim jacket,Outerwear,25,700,749,18725,1225
26-01-2023,4,Tuxedo, Suits,18,560,669,12042,1962
26-01-2023,5,V-neck -Sweaters,Sweaters,13,420,489,6357,897
26-01-2023,6,Graphic T-shirt,T-shirts,10,150,199,1990,490
26-01-2023,7,Running jacket,Activewear,13,420,499,6487,1027
26-01-2023,8,Belt,Accessories,10,110,159,1590,490
26-01-2023,9,Watch,Accessories,23,380,419,9637,897
26-01-2023,10,Sneakers,Footwear,25,350,449,11225,2475
27-01-2023,1,Polo shirt,Shirts,29,300,399,11571,2871
27-01-2023,2,Jeans,Pants,17,600,699,11883,1683
27-01-2023,3,Denim jacket,Outerwear,16,700,749,11984,784
27-01-2023,4,Tuxedo, Suits,12,560,669,8028,1308
27-01-2023,5,V-neck -Sweaters,Sweaters,26,420,489,12714,1794
27-01-2023,6,Graphic T-shirt,T-shirts,10,150,199,1990,490
27-01-2023,7,Running jacket,Activewear,25,420,499,12475,1975
27-01-2023,8,Belt,Accessories,21,110,159,3339,1029
27-01-2023,9,Watch,Accessories,28,380,419,11732,1092
27-01-2023,10,Sneakers,Footwear,23,350,449,10327,2277
28-01-2023,1,Polo shirt,Shirts,15,300,399,5985,1485
28-01-2023,2,Jeans,Pants,15,600,699,10485,1485
28-01-2023,3,Denim jacket,Outerwear,22,700,749,16478,1078
28-01-2023,4,Tuxedo, Suits,28,560,669,18732,3052
28-01-2023,5,V-neck -Sweaters,Sweaters,17,420,489,8313,1173
28-01-2023,6,Graphic T-shirt,T-shirts,11,150,199,2189,539
28-01-2023,7,Running jacket,Activewear,10,420,499,4990,790
28-01-2023,8,Belt,Accessories,24,110,159,3816,1176
28-01-2023,9,Watch,Accessories,10,380,419,4190,390
28-01-2023,10,Sneakers,Footwear,14,350,449,6286,1386
29-01-2023,1,Polo shirt,Shirts,25,300,399,9975,2475
29-01-2023,2,Jeans,Pants,28,600,699,19572,2772
29-01-2023,3,Denim jacket,Outerwear,13,700,749,9737,637
29-01-2023,4,Tuxedo, Suits,12,560,669,8028,1308
29-01-2023,5,V-neck -Sweaters,Sweaters,26,420,489,12714,1794
29-01-2023,6,Graphic T-shirt,T-shirts,26,150,199,5174,1274
29-01-2023,7,Running jacket,Activewear,21,420,499,10479,1659
29-01-2023,8,Belt,Accessories,23,110,159,3657,1127
29-01-2023,9,Watch,Accessories,15,380,419,6285,585
29-01-2023,10,Sneakers,Footwear,12,350,449,5388,1188
30-01-2023,1,Polo shirt,Shirts,18,300,399,7182,1782
30-01-2023,2,Jeans,Pants,14,600,699,9786,1386
30-01-2023,3,Denim jacket,Outerwear,26,700,749,19474,1274
30-01-2023,4,Tuxedo, Suits,23,560,669,15387,2507
30-01-2023,5,V-neck -Sweaters,Sweaters,12,420,489,5868,828
30-01-2023,6,Graphic T-shirt,T-shirts,10,150,199,1990,490
30-01-2023,7,Running jacket,Activewear,29,420,499,14471,2291
30-01-2023,8,Belt,Accessories,10,110,159,1590,490
30-01-2023,9,Watch,Accessories,12,380,419,5028,468
30-01-2023,10,Sneakers,Footwear,27,350,449,12123,2673
31-01-2023,1,Polo shirt,Shirts,19,300,399,7581,1881
31-01-2023,2,Jeans,Pants,12,600,699,8388,1188
31-01-2023,3,Denim jacket,Outerwear,17,700,749,12733,833
31-01-2023,4,Tuxedo, Suits,23,560,669,15387,2507
31-01-2023,5,V-neck -Sweaters,Sweaters,27,420,489,13203,1863
31-01-2023,6,Graphic T-shirt,T-shirts,24,150,199,4776,1176
31-01-2023,7,Running jacket,Activewear,11,420,499,5489,869
31-01-2023,8,Belt,Accessories,19,110,159,3021,931
31-01-2023,9,Watch,Accessories,11,380,419,4609,429
31-01-2023,10,Sneakers,Footwear,26,350,449,11674,2574
01-02-2023,1,Polo shirt,Shirts,17,300,399,6783,1683
01-02-2023,2,Jeans,Pants,10,600,699,6990,990
01-02-2023,3,Denim jacket,Outerwear,18,700,749,13482,882
01-02-2023,4,Tuxedo, Suits,20,560,669,13380,2180
01-02-2023,5,V-neck -Sweaters,Sweaters,25,420,489,12225,1725
01-02-2023,6,Graphic T-shirt,T-shirts,16,150,199,3184,784
01-02-2023,7,Running jacket,Activewear,19,420,499,9481,1501
01-02-2023,8,Belt,Accessories,12,110,159,1908,588
01-02-2023,9,Watch,Accessories,27,380,419,11313,1053
01-02-2023,10,Sneakers,Footwear,22,350,449,9878,2178
02-02-2023,1,Polo shirt,Shirts,16,300,399,6384,1584
02-02-2023,2,Jeans,Pants,13,600,699,9087,1287
02-02-2023,3,Denim jacket,Outerwear,22,700,749,16478,1078
02-02-2023,4,Tuxedo, Suits,29,560,669,19401,3161
02-02-2023,5,V-neck -Sweaters,Sweaters,10,420,489,4890,690
02-02-2023,6,Graphic T-shirt,T-shirts,17,150,199,3383,833
02-02-2023,7,Running jacket,Activewear,23,420,499,11477,1817
02-02-2023,8,Belt,Accessories,25,110,159,3975,1225
02-02-2023,9,Watch,Accessories,23,380,419,9637,897
02-02-2023,10,Sneakers,Footwear,21,350,449,9429,2079
03-02-2023,1,Polo shirt,Shirts,28,300,399,11172,2772
03-02-2023,2,Jeans,Pants,24,600,699,16776,2376
03-02-2023,3,Denim jacket,Outerwear,11,700,749,8239,539
03-02-2023,4,Tuxedo, Suits,11,560,669,7359,1199
03-02-2023,5,V-neck -Sweaters,Sweaters,28,420,489,13692,1932
03-02-2023,6,Graphic T-shirt,T-shirts,26,150,199,5174,1274
03-02-2023,7,Running jacket,Activewear,29,420,499,14471,2291
03-02-2023,8,Belt,Accessories,19,110,159,3021,931
03-02-2023,9,Watch,Accessories,15,380,419,6285,585
03-02-2023,10,Sneakers,Footwear,24,350,449,10776,2376
04-02-2023,1,Polo shirt,Shirts,20,300,399,7980,1980
04-02-2023,2,Jeans,Pants,14,600,699,9786,1386
04-02-2023,3,Denim jacket,Outerwear,10,700,749,7490,490
04-02-2023,4,Tuxedo, Suits,17,560,669,11373,1853
04-02-2023,5,V-neck -Sweaters,Sweaters,21,420,489,10269,1449
04-02-2023,6,Graphic T-shirt,T-shirts,21,150,199,4179,1029
04-02-2023,7,Running jacket,Activewear,14,420,499,6986,1106
04-02-2023,8,Belt,Accessories,16,110,159,2544,784
04-02-2023,9,Watch,Accessories,13,380,419,5447,507
04-02-2023,10,Sneakers,Footwear,15,350,449,6735,1485
05-02-2023,1,Polo shirt,Shirts,22,300,399,8778,2178
05-02-2023,2,Jeans,Pants,29,600,699,20271,2871
05-02-2023,3,Denim jacket,Outerwear,24,700,749,17976,1176
05-02-2023,4,Tuxedo, Suits,12,560,669,8028,1308
05-02-2023,5,V-neck -Sweaters,Sweaters,17,420,489,8313,1173
05-02-2023,6,Graphic T-shirt,T-shirts,29,150,199,5771,1421
05-02-2023,7,Running jacket,Activewear,25,420,499,12475,1975
05-02-2023,8,Belt,Accessories,22,110,159,3498,1078
05-02-2023,9,Watch,Accessories,27,380,419,11313,1053
05-02-2023,10,Sneakers,Footwear,19,350,449,8531,1881
06-02-2023,1,Polo shirt,Shirts,28,300,399,11172,2772
06-02-2023,2,Jeans,Pants,26,600,699,18174,2574
06-02-2023,3,Denim jacket,Outerwear,28,700,749,20972,1372
06-02-2023,4,Tuxedo, Suits,14,560,669,9366,1526
06-02-2023,5,V-neck -Sweaters,Sweaters,18,420,489,8802,1242
06-02-2023,6,Graphic T-shirt,T-shirts,21,150,199,4179,1029
06-02-2023,7,Running jacket,Activewear,10,420,499,4990,790
06-02-2023,8,Belt,Accessories,10,110,159,1590,490
06-02-2023,9,Watch,Accessories,24,380,419,10056,936
06-02-2023,10,Sneakers,Footwear,11,350,449,4939,1089
07-02-2023,1,Polo shirt,Shirts,25,300,399,9975,2475
07-02-2023,2,Jeans,Pants,17,600,699,11883,1683
07-02-2023,3,Denim jacket,Outerwear,22,700,749,16478,1078
07-02-2023,4,Tuxedo, Suits,10,560,669,6690,1090
07-02-2023,5,V-neck -Sweaters,Sweaters,25,420,489,12225,1725
07-02-2023,6,Graphic T-shirt,T-shirts,16,150,199,3184,784
07-02-2023,7,Running jacket,Activewear,14,420,499,6986,1106
07-02-2023,8,Belt,Accessories,12,110,159,1908,588
07-02-2023,9,Watch,Accessories,21,380,419,8799,819
07-02-2023,10,Sneakers,Footwear,25,350,449,11225,2475
08-02-2023,1,Polo shirt,Shirts,28,300,399,11172,2772
08-02-2023,2,Jeans,Pants,14,600,699,9786,1386
08-02-2023,3,Denim jacket,Outerwear,23,700,749,17227,1127
08-02-2023,4,Tuxedo, Suits,14,560,669,9366,1526
08-02-2023,5,V-neck -Sweaters,Sweaters,24,420,489,11736,1656
08-02-2023,6,Graphic T-shirt,T-shirts,26,150,199,5174,1274
08-02-2023,7,Running jacket,Activewear,23,420,499,11477,1817
08-02-2023,8,Belt,Accessories,29,110,159,4611,1421
08-02-2023,9,Watch,Accessories,14,380,419,5866,546
08-02-2023,10,Sneakers,Footwear,21,350,449,9429,2079
09-02-2023,1,Polo shirt,Shirts,25,300,399,9975,2475
09-02-2023,2,Jeans,Pants,25,600,699,17475,2475
09-02-2023,3,Denim jacket,Outerwear,16,700,749,11984,784
09-02-2023,4,Tuxedo, Suits,13,560,669,8697,1417
09-02-2023,5,V-neck -Sweaters,Sweaters,10,420,489,4890,690
09-02-2023,6,Graphic T-shirt,T-shirts,14,150,199,2786,686
09-02-2023,7,Running jacket,Activewear,19,420,499,9481,1501
09-02-2023,8,Belt,Accessories,14,110,159,2226,686
09-02-2023,9,Watch,Accessories,13,380,419,5447,507
09-02-2023,10,Sneakers,Footwear,11,350,449,4939,1089
10-02-2023,1,Polo shirt,Shirts,29,300,399,11571,2871
10-02-2023,2,Jeans,Pants,19,600,699,13281,1881
10-02-2023,3,Denim jacket,Outerwear,28,700,749,20972,1372
10-02-2023,4,Tuxedo, Suits,10,560,669,6690,1090
10-02-2023,5,V-neck -Sweaters,Sweaters,14,420,489,6846,966
10-02-2023,6,Graphic T-shirt,T-shirts,22,150,199,4378,1078
10-02-2023,7,Running jacket,Activewear,13,420,499,6487,1027
10-02-2023,8,Belt,Accessories,25,110,159,3975,1225
10-02-2023,9,Watch,Accessories,25,380,419,10475,975
10-02-2023,10,Sneakers,Footwear,11,350,449,4939,1089
11-02-2023,1,Polo shirt,Shirts,26,300,399,10374,2574
11-02-2023,2,Jeans,Pants,29,600,699,20271,2871
11-02-2023,3,Denim jacket,Outerwear,21,700,749,15729,1029
11-02-2023,4,Tuxedo, Suits,27,560,669,18063,2943
11-02-2023,5,V-neck -Sweaters,Sweaters,12,420,489,5868,828
11-02-2023,6,Graphic T-shirt,T-shirts,10,150,199,1990,490
11-02-2023,7,Running jacket,Activewear,10,420,499,4990,790
11-02-2023,8,Belt,Accessories,28,110,159,4452,1372
11-02-2023,9,Watch,Accessories,20,380,419,8380,780
11-02-2023,10,Sneakers,Footwear,14,350,449,6286,1386
12-02-2023,1,Polo shirt,Shirts,21,300,399,8379,2079
12-02-2023,2,Jeans,Pants,12,600,699,8388,1188
12-02-2023,3,Denim jacket,Outerwear,10,700,749,7490,490
12-02-2023,4,Tuxedo, Suits,10,560,669,6690,1090
12-02-2023,5,V-neck -Sweaters,Sweaters,17,420,489,8313,1173
12-02-2023,6,Graphic T-shirt,T-shirts,19,150,199,3781,931
12-02-2023,7,Running jacket,Activewear,20,420,499,9980,1580
